Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Time,Date
2025-11-10 09:30:00-05:00,268.95001220703125,273.7300109863281,268.95001220703125,273.2749938964844,5200961,0.26,0.0,09:30:00,2025-11-10
2025-11-10 10:00:00-05:00,273.2550048828125,273.2900085449219,271.5400085449219,271.85699462890625,1830020,0.0,0.0,10:00:00,2025-11-10
2025-11-10 10:30:00-05:00,271.8299865722656,271.989990234375,270.5799865722656,270.7598876953125,1610478,0.0,0.0,10:30:00,2025-11-10
2025-11-10 11:00:00-05:00,270.7300109863281,270.7900085449219,269.04998779296875,269.06640625,1473198,0.0,0.0,11:00:00,2025-11-10
2025-11-10 11:30:00-05:00,269.0400085449219,269.3500061035156,268.489990234375,269.30999755859375,1318050,0.0,0.0,11:30:00,2025-11-10
2025-11-10 12:00:00-05:00,269.32501220703125,269.7587890625,268.989990234375,269.0799865722656,1028163,0.0,0.0,12:00:00,2025-11-10
2025-11-10 12:30:00-05:00,269.07000732421875,269.7749938964844,269.010009765625,269.54998779296875,902652,0.0,0.0,12:30:00,2025-11-10
2025-11-10 13:00:00-05:00,269.54998779296875,270.2300109863281,269.510009765625,269.7300109863281,904790,0.0,0.0,13:00:00,2025-11-10
2025-11-10 13:30:00-05:00,269.7099914550781,270.1499938964844,269.6000061035156,269.989990234375,842203,0.0,0.0,13:30:00,2025-11-10
2025-11-10 14:00:00-05:00,269.9949951171875,270.3077087402344,267.4549865722656,269.6600036621094,2346464,0.0,0.0,14:00:00,2025-11-10
2025-11-10 14:30:00-05:00,269.6300048828125,269.80999755859375,269.3900146484375,269.5199890136719,1136980,0.0,0.0,14:30:00,2025-11-10
2025-11-10 15:00:00-05:00,269.5199890136719,269.6300048828125,269.04998779296875,269.11859130859375,1111230,0.0,0.0,15:00:00,2025-11-10
2025-11-10 15:30:00-05:00,269.1000061035156,269.6000061035156,268.760009765625,269.3599853515625,2892894,0.0,0.0,15:30:00,2025-11-10
2025-11-11 09:30:00-05:00,269.80999755859375,274.3699951171875,269.79998779296875,273.8399963378906,5907765,0.0,0.0,09:30:00,2025-11-11
2025-11-11 10:00:00-05:00,273.8349914550781,274.739990234375,272.5199890136719,274.1000061035156,3336943,0.0,0.0,10:00:00,2025-11-11
2025-11-11 10:30:00-05:00,274.1000061035156,274.3460998535156,272.614990234375,272.9617004394531,2131207,0.0,0.0,10:30:00,2025-11-11
2025-11-11 11:00:00-05:00,272.9800109863281,273.5799865722656,272.42999267578125,272.5,1321289,0.0,0.0,11:00:00,2025-11-11
2025-11-11 11:30:00-05:00,272.510009765625,272.5325012207031,271.7799987792969,271.95001220703125,1203708,0.0,0.0,11:30:00,2025-11-11
2025-11-11 12:00:00-05:00,271.92999267578125,273.614990234375,271.8717956542969,273.31500244140625,1321906,0.0,0.0,12:00:00,2025-11-11
2025-11-11 12:30:00-05:00,273.3299865722656,273.8999938964844,273.0299987792969,273.8299865722656,1259873,0.0,0.0,12:30:00,2025-11-11
2025-11-11 13:00:00-05:00,273.8299865722656,274.70001220703125,273.70001220703125,274.4800109863281,1374893,0.0,0.0,13:00:00,2025-11-11
2025-11-11 13:30:00-05:00,274.489990234375,274.9800109863281,274.1600036621094,274.4599914550781,1481108,0.0,0.0,13:30:00,2025-11-11
2025-11-11 14:00:00-05:00,274.45001220703125,275.6600036621094,274.19000244140625,275.32000732421875,1974197,0.0,0.0,14:00:00,2025-11-11
2025-11-11 14:30:00-05:00,275.3299865722656,275.54998779296875,275.04998779296875,275.54998779296875,1170904,0.0,0.0,14:30:00,2025-11-11
2025-11-11 15:00:00-05:00,275.5400085449219,275.760009765625,275.2200012207031,275.25,1482527,0.0,0.0,15:00:00,2025-11-11
